koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_count,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
"CONFIRMED",9.48803557,2.775e-05,-2.775e-05,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,615.8,19.5,-19.5,2.26,0.26,-0.15,93.59,29.45,-16.65,35.80,2,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.1400,0.1500,-0.1500,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460
"CONFIRMED",54.4183827,0.0002479,-0.0002479,0.586,0.059,-0.443,4.507,0.116,-0.116,874.8,35.5,-35.5,2.83,0.32,-0.19,9.11,2.87,-1.62,25.80,2,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.1400,0.1500,-0.1500,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460
"CANDIDATE",19.89913995,1.494e-05,-1.494e-05,0.969,5.126,-0.077,1.7822,0.0341,-0.0341,10829,171,-171,14.6,3.92,-1.31,39.30,31.04,-10.49,76.30,1,5853.00,158.00,-176.00,4.544,0.044,-0.176,-0.1800,0.3000,-0.3000,0.8680,0.2330,-0.0780,0.9610,0.1100,-0.1210
"FALSE POSITIVE",1.736952453,2.63e-07,-2.63e-07,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,8079.2,12.8,-12.8,33.46,8.5,-2.83,891.96,668.95,-230.35,505.60,1,5805.00,157.00,-174.00,4.564,0.053,-0.168,-0.5200,0.3000,-0.3000,0.7910,0.2010,-0.0670,0.8360,0.0930,-0.0770
"CONFIRMED",2.525591777,3.761e-06,-3.761e-06,0.701,0.235,-0.478,1.6545,0.042,-0.042,603.3,16.9,-16.9,2.75,0.88,-0.35,926.16,874.33,-314.24,40.90,1,6031.00,169.00,-211.00,4.438,0.070,-0.210,0.0700,0.2500,-0.3000,1.0460,0.3340,-0.1330,1.0950,0.1510,-0.1360
"CONFIRMED",11.09432054,2.036e-05,-2.036e-05,0.538,0.03,-0.428,4.5945,0.061,-0.061,1517.5,24.2,-24.2,3.9,1.27,-0.42,114.81,112.85,-36.70,66.50,3,6046.00,189.00,-232.00,4.486,0.054,-0.229,-0.0800,0.2500,-0.3000,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500
"CONFIRMED",4.13443512,1.046e-05,-1.046e-05,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,686,18.7,-18.7,2.77,0.9,-0.3,427.65,420.33,-136.70,40.20,3,6046.00,189.00,-232.00,4.486,0.054,-0.229,-0.0800,0.2500,-0.3000,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500
"CONFIRMED",2.56658897,1.781e-05,-1.781e-05,0.755,0.212,-0.523,2.429,0.165,-0.165,226.5,16.8,-16.8,1.59,0.52,-0.17,807.74,793.91,-258.20,15.00,3,6046.00,189.00,-232.00,4.486,0.054,-0.229,-0.0800,0.2500,-0.3000,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500
"FALSE POSITIVE",7.36178958,2.128e-05,-2.128e-05,1.169,7.133,-0.044,5.022,0.136,-0.136,233.7,5.8,-5.8,39.21,6.45,-9.67,767.22,349.28,-365.49,47.70,1,6227.00,111.00,-124.00,3.986,0.182,-0.098,0.0000,0.1500,-0.1500,1.9580,0.3220,-0.4830,1.3580,0.1210,-0.2070
"CONFIRMED",16.06864674,1.088e-05,-1.088e-05,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,4914.3,33.3,-33.3,5.76,0.22,-0.49,30.75,4.46,-6.66,161.90,3,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.1600,0.1500,-0.1500,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300
